2021/11/05 14:27:25 (WARNING) werkzeug                      :  * Debugger is active!
2021/11/05 14:27:25 (   INFO) werkzeug                      :  * Debugger PIN: 645-647-955
2021/11/05 14:27:26 (WARNING) werkzeug                      :  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
2021/11/05 14:27:26 (   INFO) werkzeug                      :  * Running on http://10.145.106.69:80/ (Press CTRL+C to quit)
2021/11/05 14:27:52 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:27:52] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 14:27:52 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:27:52] "GET /getData?id=62d7d2e8-e74d-4f87-94c1-f2f26c0e202b HTTP/1.1" 200 -
2021/11/05 14:27:52 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:27:52] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:27:54 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:27:54] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:27:54 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:27:54] "GET /getData?id=bd74699d-b48d-4944-80d5-188d9524d38b HTTP/1.1" 200 -
2021/11/05 14:53:12 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:12] "OPTIONS /insert HTTP/1.1" 200 -
2021/11/05 14:53:12 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:12] "GET /getData?id=62d7d2e8-e74d-4f87-94c1-f2f26c0e202b HTTP/1.1" 200 -
2021/11/05 14:53:12 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:12] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:53:13 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:13] "POST /insert HTTP/1.1" 200 -
2021/11/05 14:53:14 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:14] "GET /getData?id=bd74699d-b48d-4944-80d5-188d9524d38b HTTP/1.1" 200 -
2021/11/05 14:53:15 (   INFO) werkzeug                      : 127.0.0.1 - - [05/Nov/2021 14:53:15] "POST /insert HTTP/1.1" 200 -
